name;type;alignment;ac;armor_type;hit_points;hit_die;speed;str;dex;con;int;wis;cha;save_throws;skills;dam_resist;dam_immune;cond_immune;senses;language;challenge;xp;none;actions;leg_actions;abilities
Mage; Medium humanoid (any race); any alignment; 12; 15 with Mage Armor; 40; 9d8; 30; 9; 14; 11; 17; 12; 11; Int +6, Wis +4; Arcana +6, History +6; ; ; ; passive Perception 11; any four languages; 6; 2,300; ; Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target.<br>Hit:4 (1d4 + 2) piercing damage.; ; Spellcasting.The mage is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The mage has the following wizard spells prepared:<br>Cantrips (at will): fire bolt, light, mage hand, prestidigitation<br>1st level (4 slots): detect magic, mage armor, magic missile, shield<br>2nd level (3 slots): misty step, suggestion<br>3rd level (3 slots): counterspell, fireball, fly<br>4th level (3 slots): greater invisibility, ice storm<br>5th level (1 slot): cone of cold
Noble; Medium humanoid (any race); any alignment; 15; breastplate; 9; 2d8; 30 ft.; 11; 12; 11; 12; 14; 16; ; Deception +5, Insight +4, Persuasion +5; ; ; ; passive Perception 10; any two languages; 1/8; 25; ; Rapier. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. <br>Hit:5 (1d8 + 1) piercing damage.<br><br>Reactions<br>Parry. The noble adds 2 to its AC against one melee attack that would hit it. To do so, the noble must see the attacker and be wielding a melee weapon.<br>; ;
Ogre; Large giant; chaotic evil; 11; hide armor; 59; 7d10+21; 40 ft.; 19; 8; 16; 5; 7; 7; ; ; ; ; ; darkvision 60 ft., passive Perception 8; Common, Giant; 2; 450; ; Greatclub. Melee Weapon Attack:+6 to hit, reach 5 ft., one target. <br>Hit:13 (2d8 + 4) bludgeoning damage.<br>Javelin. Melee or Ranged Weapon Attack:+6 to hit, reach 5 ft. or range 30/120 ft., one target.<br>Hit:11 (2d6 + 4) piercing damage.<br>; ;
Orc; Medium humanoid (orc); chaotic evil; 13; hide armor; 15; 2d8+6; 30 ft.; 16; 12; 16; 7; 11; 10; ; Intimidation +2; ; ; ; darkvision 60 ft., passive Perception 10; Common, Orc; 1/2; 100; ; Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:9 (1d12 + 3) slashing damage.<br>Javelin. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. <br>Hit:6 (1d6 + 3) piercing damage.; ; Aggressive.As a bonus action, the orc can move up to its speed <br>toward a hostile creature that it can see.
Otyugh; Large aberration; neutral; 14; natural armor; 114; 12d10+48; 30 ft.; 16; 11; 19; 6; 13; 6; Con +7; ; ; ; ; darkvision 120 ft., passive Perception 11; Otyugh; 5; 1,800; ; Multiattack. The otyugh makes three attacks: one with its bite and two with its tentacles.<br>Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. <br>Hit:12 (2d8 + 3) piercing damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the target must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. The disease is cured on a success. The target dies if the disease reduces its hit point maximum to 0. This reduction to the target's hit point maximum lasts until the disease is cured.<br>Tentacle. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. <br>Hit:7 (1d8 + 3) bludgeoning damage plus 4 (1d8) piercing damage. If the target is Medium or smaller, it is grappled (escape DC 13) and restrained until the grapple ends. The otyugh has two tentacles, each of which can grapple one target.<br>Tentacle Slam. The otyugh slams creatures grappled by it into each other or a solid surface. Each creature must succeed on a DC 14 Strength saving throw or take 10 (2d6 + 3) bludgeoning damage and be stunned until the end of the otyugh's next turn. On a successful save, the target takes half the bludgeoning damage and isn't stunned.<br>; ; Limited Telepathy. The otyugh can magically transmit simple messages and images to any creature within 120 feet of it that can understand a language. This form of telepathy doesn't allow the receiving creature to telepathically respond.
Peryton; Medium monstrosity; chaotic evil; 13; natural armor; 33; 6d8+6; 20ft., fly 60ft.; 16; 12; 13; 9; 12; 10; ; Perception +5; bludgeoning, piercing, and slashing from  nonmagical weapons; ; ; passive Perception 15; understands Common and Elvish but can't speak; 2; 450; ; Multiattack. The peryton makes one gore attack and one talon attack.<br>Gore. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit: 7 (1d8 + 3) piercing damage.<br>Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:8 (2d4 + 3) piercing damage.<br>; ; Dive Attack.If the peryton is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 9 (2d8) damage to the target.<br>Flyby.The peryton doesn't provoke an opportunity attack when it flies out of an enemy's reach.<br>Keen Sight and Smell.The peryton has advantage on Wisdom (Perception) checks that rely on sight or smell.
Pharblex Spattergoo; Medium  humanoid  (bullywug); chaotic evil; 15; studded leather, Shield; 59; 7d8+28; 20ft., swim 40ft.; 15; 12; 18; 11; 16; 7; Str +4,  Con +6 ; Perception +5,  Religion +2, Stealth +3 ; ; ; ; passive  Perception  15 ; Common,  Bullywug ; 3; 700; ; Multiattack. Pharblex attacks twice, once with  his  bite and once with  his  spear.<br>Bite.  Melee  Weapon Attack:+5 to hit,  reach  5 ft.,  one target.<br>Hit:  4 ( 1d4 +  2)  piercing damage.<br>Spear.  Melee or Ranged Weapon  Attack:+5 to hit,  reach  5 ft. or ranged  20 ft./60 ft.,  one target.  <br>Hit: 5  ( 1d6 + 2)  piercing damage.; ; Amphibious. Pharblex can  breathe air and water.<br>Poison Strike (3/Day).Once  per turn, when  Pharblex hits with  a melee attack,  he can  expend  a  use of this trait to deal  an  extra 9 (2d8)  poison  damage.<br>Spellcasting. Pharblex is a 6th-level  spellcaster that uses Wisdom  as  his  spellcasting ability  (spell  save  DC  13, +5 to  hit with  spell  attacks).  Pharblex has the following spells  prepared from the druid  spell  list:<br>Cantrips  (at will): druidcraft,  guidance, poison cloud<br>1st level  (4 slots):  cure  wounds,  entangle,  healing word, thunderwave<br>2nd  level  (3  slots):  barkskin,  beast sense,  spike growth<br>3rd  level  (3  slots): plant growth,  water walk <br>Standing Leap.As  part of his  movement and without a running start,  Pharblex can  long jump  up to 20 feet and high jump  up to  10 feet.<br>Swamp Camouflage. Pharblex has advantage on Dexterity  (Stealth)  checks  made to  hide  in  swampy terrain.
Priest; Medium humanoid (any race); any alignment; 13; chain shirt; 27; 5d8+5; 25 ft.; 10; 10; 12; 13; 16; 13; ; Medicine +7, Persuasion +3, Religion +4; ; ; ; passive Perception 13; any two languages; 2; 450; ; Mace. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. <br>Hit:3 (1d6) bludgeoning damage.; ; Divine Eminence.As a bonus action, the priest can expend a spell slot to cause its melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If the priest expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st.<br>Spellcasting.The priest is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). The priest has the following cleric spells prepared:<br>Cantrips (at will): light,sacred flame, thaumaturgy<br>1st level (4 slots): cure wounds,guiding bolt, sanctuary<br>2nd level (3 slots): lesser restoration, spiritual weapon<br>3rd level (2 slots): dispel magic, spirit guardians
Roper; Large monstrosity; neutral evil; 20; natural armor; 93; 11d10+33; 10 ft., climb 10 ft.; 18; 8; 17; 7; 16; 6; ; Perception +6, Stealth +5; ; ; ; darkvision 60 ft., passive Perception 16; ; 5; 1,800; ; Multiattack.The roper makes four attacks with its tendrils, uses Reel, and makes one attack with its bite.<br>Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. <br>Hit: 22 (4d8 + 4) piercing damage.<br>Tendril. Melee Weapon Attack: +7 to hit, reach 50 ft., one creature. <br>Hit:The target is grappled (escape DC 15). Until the grapple ends, the target is restrained and has disadvantage on Strength checks and Strength saving throws, and the roper can't use the same tendril on another target.Reel.The roper pulls each creature grappled by it up to 25 feet straight toward it.; ; False Appearance.While the roper remains motionless, it is indistinguishable from a normal cave formation, such as a stalagmite.<br>Grasping Tendrils. The roper can have up to six tendrils at a time. Each tendril can be attacked (AC 20, 10 hit points, immunity to poison and psychic damage). Destroying a tendril deals no damage to the roper, which can extrude a replacement tendril on its next turn. A tendril can also be broken if a <br>creature takes an action and succeeds on a DC 15 Strength check against it.<br>Spider Climb. The roper can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Rug of Smothering; Large construct; unaligned; 12; ; 33; 6d10; 10 ft.; 17; 14; 10; 1; 3; 1; ; ; ; poison, psychic; blinded, charmed, deafened, frightened,  paralyzed, petrified, poisoned; blindsight 60 ft. (blind beyond this radius), passive Perception 6; ; 2; 450; ; Smother. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. <br>Hit:The creature is grappled (escape DC 13). Until this grapple ends, the target is restrained blinded, and at risk of suffocating, and the rug can't smother another target. In addition, at the start of each of the target's turns, the target takes 10 (2d6 + 3) bludgeoning damage.<br>; ; Antimagic Susceptibility.The rug is incapacitated while in the area of an antimagic field.If targeted by dispel magic, the rug must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.<br>Damage Transfer.While it is grappling a creature, the rug takes only half the damage dealt to it, and the creature grappled by the rug takes the other half.<br>False Appearance.While the rug remains motionless, it is indistinguishable from a normal rug.
Scout; Medium humanoid (any race); any alignment; 13; leather armor; 16; 3d8+3; 30 ft.; 11; 14; 12; 11; 13; 11; ; Nature +4, Perception +5, Stealth +6, Survival +5; ; ; ; passive Perception 15; any one language (usually Common; 1/2; 100; ; Multiattack. The scout makes two melee attacks or two ranged attacks.<br>Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target.<br> Hit:5 (1d6 + 2) piercing damage.<br>Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. <br>Hit: 6 (1d8 + 2) piercing damage.<br>; ; Keen Hearing and Sight.The scout has advantage on Wisdom (Perception) checks that rely on hearing or sight.
Shambling Mound; Large plant; unaligned; 15; natural armor; 136; 16d10+48; 20 ft., swim 20 ft.; 18; 8; 16; 5; 10; 5; ; Stealth +2; cold, fire; lightning; blinded, deafened, exhaustion; blindsight 60 ft. (blind beyond this radius), passive Perception 10; ; 5; 1,800; ; Multiattack.The shambling mound makes two slam attacks. If both attacks hit a Medium or smaller target, the target is grappled (escape DC 14), and the shambling mound uses its Engulf on it.<br>Slam. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. <br>Hit:13 (2d8 + 4) bludgeoning damage.<br>Engulf. The shambling mound engulfs a Medium or smaller creature grappled by it. The engulfed target is blinded, restrained, and unable to breathe, and it must succeed on a DC 14 Constitution saving throw at the start of each of the mound's turns or take 13 (2d8 + 4) bludgeoning damage. If the mound moves, the engulfed target moves with it. The mound can have only one creature engulfed at a time.<br>; ; Lightning Absorption. Whenever the shambling mound is subjected to lightning damage, it takes no damage and regains a number of hit points equal to the lightning damage dealt.
Specter; Medium undead; chaotic evil; 12; ; 22; 5d8; 0 ft., fly 50 ft. (hover); 1; 14; 11; 10; 10; 11; ; ; acid, cold, fire, lightning, thunder,  bludgeoning, piercing, and slashing from nonmagical  weapons Damage Im; necrotic, poison; charmed, exhaustion, grappled,  paralyzed, petrified, poisoned, prone, restrained,  unconscious; darkvision 60 ft., passive Perception 10; understands all languages it knew in life but can't  speak; 1; 200; ; Life Drain. Melee Spell Attack: +4 to hit, reach 5 ft., one creature. <br>Hit:10 (3d6) necrotic damage. The target must succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.<br>; ; Incorporeal Movement. The specter can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br>Sunlight Sensitivity.While in sunlight, the specter has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Spy; Medium humanoid (any race); any alignment; 12; ; 27; 6d8; 30 ft.; 10; 15; 10; 12; 14; 16; ; Deception +5, Insight +4, Investigation +5, Perception +6,  Persuasion +5, Sleight of Hand +4, Stealth +4; ; ; ; passive Perception 16; any two languages; 1; 200; ; Multiattack.The spy makes two melee attacks.<br>Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target.<br>Hit:5 (1d6 + 2) piercing damage.<br>Hand Crossbow. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. <br>Hit:5 (1d6 + 2) piercing damage.<br>; ; Cunning Action.On each of its turns, the spy can use a bonus action to take the Dash, Disengage, or Hide action.<br>Sneak Attack (1/Turn).The spy deals an extra 7 (2d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the spy that isn't incapacitated and the spy doesn't have disadvantage on the attack roll.
Stirge; Tiny beast; unaligned; 14; natural armor; 2; 1d4; 10 ft., fly 40 ft.; 4; 16; 11; 2; 8; 6; ; ; ; ; ; darkvision 60 ft., passive Perception 9; ; 1/8; 25; ; Blood Drain. Melee Weapon Attack:+5 to hit, reach 5 ft., one creature. <br>Hit:5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss.The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.; ;
Stone Giant; Huge giant; neutral; 17; natural armor; 126; 11d12+55; 40 ft.; 23; 15; 20; 10; 12; 9; Dex +5, Con +8, Wis +4; Athletics +12, Perception +4; ; ; ; darkvision 60 ft., passive Perception 14; Giant; 7; 2,900; ; Multiattack.The giant makes two greatclub attacks.<br>Greatclub. Melee Weapon Attack: +9 to hit, reach 15 ft., one target. <br>Hit:19 (3d8 + 6) bludgeoning damage.<br>Rock. Ranged Weapon Attack: +9 to hit, range 60/240 ft., one target. <br>Hit:28 (4d10 + 6) bludgeoning damage. If the target is a creature, it must succeed on a DC 17 Strength saving throw or be knocked prone.<br><br>Reaction<br>Rock Catching.If a rock or similar object is hurled at the giant the giant can, with a successful DC 10 Dexterity saving throw, catch the missile and take no bludgeoning damage from it.; ;
Stone Golem; Large construct; unaligned; 17; natural armor; 178; 17d10+85; 30 ft.; 22; 9; 20; 3; 11; 1; ; ; ; poison, psychic, bludgeoning, piercing,  and slashing from nonmagical weapons that aren't  adamantine; charmed, exhaustion, frightened,  paralyzed, petrified, poisoned; darkvision 120 ft., passive Perception 10; understands the languages of its creator but can't  speak; 10; 5,900; ; Multiattack.The golem makes two slam attacks.<br>Slam. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. <br>Hit:19 (3d8 + 6) bludgeoning damage.<br>Slow (Recharge 5–6).The golem targets one or more creatures it can see within 10 feet of it. Each target must make a DC 17 Wisdom saving throw against this magic. On a failed save, a target can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the target can take either an action or a bonus action on its turn, not both. These effects last for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br>; ; Immutable Form.The golem is immune to any spell or effect that would alter its form.<br>Magic Resistance.The golem has advantage on saving throws against spells and other magical effects.<br>Magic Weapons.The golem's weapon attacks are magical.
Swarm of Insects; Medium swarm of Tiny beasts; unaligned; 12; natural armor; 22; 5d8; 20 ft., climb 20 ft.; 3; 13; 10; 1; 7; 1; ; ; bludgeoning, piercing, slashing; ; charmed, frightened, paralyzed,  petrified, prone, restrained, stunned; blindsight 10 ft., passive Perception 8; ; 1/2; 100; ; Bites. Melee Weapon Attack:+3 to hit, reach 0 ft., one target in the swarm's space. <br>Hit:10 (4d4) piercing damage, or 5 (2d4) piercing damage if the swarm has half of its hit points or fewer.; ; Swarm.The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.
Swarm of Rats; Medium swarm of Tiny beasts; unaligned; 10; ; 24; 7d8-7; 30 ft.; 9; 11; 9; 2; 10; 3; ; ; bludgeoning, piercing, slashing Condition Immunitiescharmed, frightened, paralyzed,  petrified, prone, restrained, stunned; ; ; darkvision 30 ft., passive Perception 10; ; 1/4; 50; ; Bites. Melee Weapon Attack: +2 to hit, reach 0 ft., one target in the swarm's space. <br>Hit:7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer.; ; Keen Smell.The swarm has advantage on Wisdom (Perception) checks that rely on smell.<br>Swarm.The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny rat. The swarm can't regain hit points or gain temporary hit points.
Troglodyte; Medium humanoid (troglodyte); chaotic evil; 11; natural armor; 13; 2d8+4; 30 ft.; 14; 10; 14; 6; 10; 6; ; Stealth +2; ; ; ; darkvision 60 ft., passive Perception 10; Troglodyte; 1/4; 50; ; Multiattack.The troglodyte makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit:4 (1d4 + 2) piercing damage.<br>Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <br>Hit: 4 (1d4 + 2) slashing damage.; ; Chameleon Skin.The troglodyte has advantage on Dexterity (Stealth) checks made to hide.<br>Stench. Any creature other than a troglodyte that starts its turn within 5 feet of the troglodyte must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature's next turn. On a successful saving throw, the creature s immune to the stench of all troglodytes for 1 hour.<br>Sunlight Sensitivity. While in sunlight, the troglodyte has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.
Troll; Large giant; chaotic evil; 15; natural armor; 84; 8d10+40; 30 ft.; 18; 13; 20; 7; 9; 7; ; Perception +1; ; ; ; darkvision 60 ft., passive Perception 11; Giant; 5; 1,800; ; Multiattack.The troll makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. <br>Hit:7 (1d6 + 4) piercing damage.<br>Claw. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. <br>Hit:11 (2d6 + 4) slashing damage.; ; Keen Smell.The troll has advantage on Wisdom (Perception) checks that rely on smell.<br>Regeneration.The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate.
Vampire; Medium undead (shapechanger); lawful evil; 16; natural armor; 144; 17d8+68; 30 ft.; 18; 18; 18; 17; 15; 18; Dex +9, Wis +7, Cha +9; Perception +7, Stealth +9; necrotic, bludgeoning, piercing, and  slashing from nonmagical weapons; ; ; darkvision 120 ft., passive Perception 17; the languages it knew in life; 13; 10,000; ; Multiattack (Vampire Form Only). The vampire makes two attacks, only one of which can be a bite attack.<br>Unarmed Strike (Vampire Form Only). Melee Weapon Attack:<br>+9 to hit, reach 5 ft., one creature. Hit:8 (1d8 + 4) bludgeoning damage. Instead of dealing damage, the vampire can grapple the target (escape DC 18).<br>Bite (Bat or Vampire Form Only). Melee Weapon Attack: +9 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. <br>Hit:7 (1d6 + 4) piercing damage plus 10 (3d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. A humanoid slain in this way and then buried in the ground rises the following night as a vampire spawn under the vampire's control.<br>Charm.The vampire targets one humanoid it can see within 30 feet of it. If the target can see the vampire, the target must succeed on a DC 17 Wisdom saving throw against this magic or be charmed by the vampire. The charmed target regards the vampire as a trusted friend to be heeded and protected. Although the target isn't under the vampire's control, it takes the vampire's requests or actions in the most favorable way it can, and it is a willing target for the vampire's bit attack. Each time the vampire or the vampire's companions do anything harmful to the target, it can repeat the saving throw, ending the effect on itself on a success. Otherwise, the effect lasts 24 hours or until the vampire is destroyed, is on a different plane of existence than the target, or takes a bonus action to end the effect.<br>Children of the Night (1/Day).The vampire magically calls 2d4 swarms of bats or rats, provided that the sun isn't up. While outdoors, the vampire can call 3d6 wolves instead. The called creatures arrive in 1d4 rounds, acting as allies of the vampire and obeying its spoken commands. The beasts remain for 1 hour, until the vampire dies, or until the vampire dismisses them as a bonus action.; The vampire can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The vampire regains spent legendary actions at the start of its turn. <br>Move.The vampire moves up to its speed without provoking opportunity attacks.<br>Unarmed Strike.The vampire makes one unarmed strike. <br>Bite (Costs 2 Actions).The vampire makes one bite attack.; Shapechanger.If the vampire isn't in sunlight or running water, it can use its action to polymorph into a Tiny bat or a Medium cloud of mist, or back into its true form. While in bat form, the vampire can't speak, its walking speed is 5 feet, and it has a flying speed of 30 feet. Its statistics, other than its size and speed, are unchanged. Anything it is wearing transforms with it, but nothing it is carrying does. It reverts to its true form if it dies. While in mist form, the vampire can't take any actions, speak, or manipulate objects. It is weightless, has a flying speed of 20 feet, can hover, and can enter a hostile creature's space and stop there. In addition, if air can pass through a space, the mist can do so without squeezing, and it can't pass through water. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to all nonmagical damage, except the damage it takes from sunlight.<br>Legendary Resistance (3/Day).If the vampire fails a saving throw, it can choose to succeed instead.<br>Misty Escape.When it drops to 0 hit points outside its resting place, the vampire transforms into a cloud of mist (as in the Shapechanger trait) instead of falling unconscious, provided that it isn't in sunlight or running water. If it can't transform, it is destroyed. While it has 0 hit points in mist form, it can't revert to its vampire form, and it must reach its resting place within 2 hours or be destroyed. Once in its resting place, it reverts to its vampire form. It is then paralyzed until it regains at least 1 hit point. After spending 1 hour in its resting place with 0 hit points, it regains 1 hit point.<br>Regeneration.The vampire regains 20 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn.<br>Spider Climb.The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Vampire Weaknesses.The vampire has the following flaws:<br>Forbiddance. The vampire can't enter a residence without an invitation from one of the occupants.<br>Harmed by Running Water.The vampire takes 20 acid damage if it ends its turn in running water.<br>Stake to the Heart. If a piercing weapon made of wood is driven into the vampire's heart while the vampire isincapacitated in its resting place, the vampire is paralyzed until the stake is removed.<br>Sunlight Hypersensitivity.The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.
Vampire Spawm; Medium undead; neutral evil; 15; natural armor; 82; 11d8+33; 30 ft.; 16; 16; 16; 11; 10; 12; Dex +6, Wis +3; Perception +3, Stealth +6; necrotic, bludgeoning, piercing, and  slashing from nonmagical weapons; ; ; darkvision 60 ft., passive Perception 13; the languages it knew in life; 5; 1,800; ; Multiattack.The vampire makes two attacks, only one of which can be a bite attack.<br>Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. <br>Hit:8 (2d4 + 3) slashing damage. Instead of dealing damage, the vampire can grapple the target (escape DC 13).<br>Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one willing creature, or a creature that is grappled by the vampire, incapacitated, or restrained. <br>Hit:6 (1d6 + 3) piercing damage plus 7 (2d6) necrotic damage. The target's hit point maximum is reduced by an amount equal to the necrotic damage taken, and the vampire regains hit points equal to that amount. The reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.; ; Regeneration.The vampire regains 10 hit points at the start of its turn if it has at least 1 hit point and isn't in sunlight or running water. If the vampire takes radiant damage or damage from holy water, this trait doesn't function at the start of the vampire's next turn.<br>Spider Climb.The vampire can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br>Vampire Weaknesses.The vampire has the following flaws:<br>Forbiddance.The vampire can't enter a residence without an invitation from one of the occupants.<br>Harmed by Running Water.The vampire takes 20 acid damage when it ends its turn in running water.<br>Stake to the Heart.The vampire is destroyed if a piercing weapon made of wood is driven into its heart while it is incapacitated in its resting place.<br>Sunlight Hypersensitivity.The vampire takes 20 radiant damage when it starts its turn in sunlight. While in sunlight, it has disadvantage on attack rolls and ability checks.
Veteran; Medium humanoid (any race); any alignment; 17; splint; 58; 9d8+18; 30 ft.; 16; 13; 14; 10; 11; 10; ; Athletics +5, Perception +2; ; ; ; passive Perception 12; any one language (usually Common); 3; 700; ; Multiattack. The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack.<br>Longsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target.<br>Hit:7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.<br>Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:6 (1d6 + 3) piercing damage.<br>Heavy Crossbow. Ranged Weapon Attack: +3 to hit, range 100/400 ft., one target.<br>Hit:5 (1d10) piercing damage.; ;
Violent Fungus; Medium plant;  unaligned; 5; ; 18; 4d8; 5 ft.; 3; 1; 10; 1; 3; 1; ; ; ; ; blinded, deafened, frightened; blindsight 30 ft. (blind beyond this radius), passive Perception 6; ; 1/4; 50; ; Multiattack.The fungus makes 1d4 Rotting Touch attacks.<br>Rotting Touch. Melee Weapon Attack:+2 to hit, reach 10 ft., one creature. <br>Hit:4 (1d8) necrotic damage.; ; False Appearance.While the violet fungus remains motionless, it is indistinguishable from an ordinary fungus.
Will-o'-Wisp; Tiny undead; chaotic evil; 19; ; 22; 9d4; 0 ft., fly 50 ft. (hover); 1; 28; 10; 13; 14; 11; ; ; acid, cold, fire, necrotic, thunder,  bludgeoning, piercing, and slashing from nonmagical  weapons; lightning, poison; exhaustion, grappled, paralyzed,  poisoned, prone, restrained, unconscious; darkvision 120 ft., passive Perception 12; the languages it knew in life; 2; 450; ; Consume Life.As a bonus action, the will-o'-wisp can target one creature it can see within 5 feet of it that has 0 hit points and is still alive. The target must succeed on a DC 10 Constitution saving throw against this magic or die. If the target dies, the will-o'-wisp regains 10 (3d6) hit points.<br>Ephemeral.The will-o'-wisp can't wear or carry anything.<br>Incorporeal Movement. The will-o'-wisp can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br>Variable Illumination.The will-o'-wisp sheds bright light in a 5- to 20-foot radius and dim light for an additional number of feet equal to the chosen radius. The will-o'-wisp can alter the radius as a bonus action.; ;
Winged Kobold; Small humanoid (kobold); lawful evil; 13; ; 7; 3d6-3; 30 ft., fly 30 ft.; 7; 16; 9; 8; 7; 8; ; ; ; ; ; darkvision 60 ft., passive Perception 8; Common, Draconic; 1/4; 50; ; Dagger. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. <br>Hit:5 (1d4 + 3) piercing damage.<br>Dropped Rock. Ranged Weapon Attack: +5 to hit, one target directly below the kobold.<br>Hit:6 (1d6 + 3) bludgeoning damage.; ; Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.<br>Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.
